NAME,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,TYPE,POPULATION WITHIN 10KM,LARGEST YEAR,LARGEST VEI,LATEST YEAR,LATEST VEI,ERUPTION COUNT
Michoacan-Guanajuato,Mexico,19.85,-101.75,3860,Pyroclastic cone(s),5783287,1943,4,1943,4,1
Ilopango,El Salvador,13.672,-89.053,450,Caldera,2049583,1879,3,1879,3,1
Dieng Volcanic Complex,Indonesia,-7.2,109.879,2565,Complex,1092929,1953,2,2009,1,20
Masaya,Nicaragua,11.984,-86.161,635,Caldera,989888,1925,2,2015,1,28
San Salvador,El Salvador,13.734,-89.294,1893,Stratovolcano,800780,1917,3,1917,3,1
Dhamar,Yemen,14.57,44.67,3500,Volcanic field,791276,1937,2,1937,2,1
Taal,Philippines,14.002,120.993,311,Caldera,717090,1965,4,1977,2,17
Vesuvius,Italy,40.821,14.426,1281,Stratovolcano,675705,1875,4,1913,3,9
Tangkubanparahu,Indonesia,-6.77,107.6,2084,Stratovolcano,518822,2013,2,2013,1,17
Sundoro,Indonesia,-7.3,109.992,3136,Stratovolcano,496751,1971,2,1971,2,9
Batur,Indonesia,-8.242,115.375,1717,Caldera,466899,1974,2,1999,1,25
Sumbing,Indonesia,-7.384,110.07,3371,Stratovolcano,310361,1921,2,1921,2,2
Jolo,Philippines,6.013,121.057,811,Pyroclastic cone(s),295392,1897,0,1897,0,1
Yar,Saudi Arabia,17.05,42.83,305,Volcanic field,292582,1810,2,1810,2,1
Almolonga,Guatemala,14.797,-91.519,3173,Stratovolcano,287487,1818,2,1818,2,1