NAME,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,TYPE,POPULATION WITHIN 10KM,LARGEST YEAR,LARGEST VEI,LATEST YEAR,LATEST VEI,ERUPTION COUNT
Acatenango,Guatemala,14.501,-90.876,3976,Stratovolcano(es),60730,1924,3,1972,1,3
Adatarayama,Japan,37.647,140.281,1728,Stratovolcano(es),3936,1900,2,1996,1,3
Agrigan,United States,18.77,145.67,965,Stratovolcano,0,1917,4,1917,4,1
Agung,Indonesia,-8.343,115.508,2995,Stratovolcano,76781,1963,5,1963,5,3
Ahyi,United States,20.42,145.03,-75,Submarine,0,2014,0,2014,0,2
Aira,Japan,31.593,130.657,1117,Caldera,113874,1914,4,2017,1,13
Akademia Nauk,Russia,53.98,159.45,1180,Stratovolcano(es),3,1996,3,1996,3,1
Akan,Japan,43.384,144.013,1499,Caldera,2062,2008,1,2008,1,17
Akita-Komagatake,Japan,39.761,140.799,1637,Stratovolcano(es),3864,1970,2,1970,2,4
Akita-Yakeyama,Japan,39.964,140.757,1366,Stratovolcano,721,1929,2,1997,1,10
Akutan,United States,54.134,-165.986,1303,Stratovolcano,24,1992,2,1992,1,30
Alaid,Russia,50.861,155.565,2285,Stratovolcano,64,1981,4,2015,1,12
Alayta,Ethiopia,12.888,40.573,1496,Shield,925,1915,2,1915,2,2
Alcedo,Ecuador,-0.43,-91.12,1130,Shield,290,1993,1,1993,1,2
Almolonga,Guatemala,14.797,-91.519,3173,Stratovolcano,287487,1818,2,1818,2,1
Alu-Dalafilla,Ethiopia,13.793,40.553,578,Fissure vent(s),9,2008,3,2008,3,1
Ambang,Indonesia,0.75,124.42,1795,Complex,46469,2005,1,2005,1,1
Ambrym,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,186,1950,4,2008,2,50
Amukta,United States,52.5,-171.252,1066,Stratovolcano,0,1963,3,1997,1,4
Anatahan,United States,16.35,145.67,790,Stratovolcano,0,2004,3,2007,2,4
Aniakchak,United States,56.88,-158.17,1341,Caldera,0,1931,4,1931,4,1
Antisana,Ecuador,-0.481,-78.141,5753,Stratovolcano,2220,1801,2,1801,2,1
Antuco,Chile,-37.406,-71.349,2979,Stratovolcano,474,1852,3,1869,2,8
Aoba,Vanuatu,-15.4,167.83,1496,Shield,1279,2005,2,2011,1,4
Ararat,Turkey,39.7,44.3,5165,Stratovolcano,1239,1840,3,1840,3,1
Ardoukoba,Djibouti,11.58,42.47,298,Fissure vent(s),2895,1978,1,1978,1,1
Arenal,Costa Rica,10.463,-84.703,1670,Stratovolcano,15643,1968,3,1968,3,2
Arenales,Chile,-47.2,-73.48,3437,Stratovolcano,0,1979,1,1979,1,1
Arjuno-Welirang,Indonesia,-7.733,112.575,3339,Stratovolcano,53983,1950,2,1952,0,2
Asamayama,Japan,36.406,138.523,2568,Complex,22371,1953,3,2015,1,57
Askja,Iceland,65.033,-16.783,1080,Stratovolcano,0,1875,5,1961,2,9
Asosan,Japan,32.884,131.104,1592,Caldera,75559,2016,3,2016,3,96
Asuncion,United States,19.671,145.406,857,Stratovolcano,0,1906,2,1906,2,1
Atitlan,Guatemala,14.583,-91.186,3535,Stratovolcano(es),70431,1853,3,1853,3,7
Atka,United States,52.331,-174.139,1448,Stratovolcano(es),0,1812,3,1812,3,1
Augustine,United States,59.363,-153.43,1252,Lava dome(s),0,1986,4,2005,3,9
Avachinsky,Russia,53.256,158.836,2717,Stratovolcano,0,1945,4,2001,1,16
Awu,Indonesia,3.67,125.5,1320,Stratovolcano,22655,1966,4,2004,2,14
Axial Seamount,Undersea Features,45.95,-130.0,-1410,Submarine,0,2015,0,2015,0,4
Azul,Chile,-35.653,-70.761,3788,Stratovolcano,158,1916,5,2008,1,18
Azul,Ecuador,-0.92,-91.408,1640,Shield,220,1916,5,2008,1,18
Azul,Nicaragua,12.53,-83.87,201,Pyroclastic cone(s),4310,1916,5,2008,1,18
Azumayama,Japan,37.735,140.244,1949,Stratovolcano(es),907,1977,1,1977,1,6
Babuyan Claro,Philippines,19.523,121.94,1080,Stratovolcano(es),222,1831,4,1924,2,7
Bagana,Papua New Guinea,-6.137,155.196,1855,Lava cone,404,1952,4,2000,2,24
Baker,United States,48.777,-121.813,3285,Stratovolcano(es),46,1843,3,1880,2,9
Bam,Papua New Guinea,-3.613,144.818,685,Stratovolcano,192,1877,3,1960,2,15
Bamus,Papua New Guinea,-5.2,151.23,2248,Stratovolcano,630,1886,3,1886,3,1
Banda Api,Indonesia,-4.523,129.881,596,Caldera,5682,1988,3,1988,3,7
Bandaisan,Japan,37.601,140.072,1816,Stratovolcano,17608,1888,4,1888,4,2
Banua Wuhu,Indonesia,3.138,125.491,-5,Submarine,480,1918,3,1918,3,6
Barcena,Mexico,19.3,-110.82,332,Pyroclastic cone(s),0,1952,3,1952,3,1
Bardarbunga,Iceland,64.633,-17.516,2000,Stratovolcano,0,1910,2,2014,0,4
Barren Island,India,12.278,93.858,354,Stratovolcano,645,2013,2,2013,1,9
Barrier,Kenya,2.32,36.57,1032,Shield,112,1921,2,1921,2,6
Batur,Indonesia,-8.242,115.375,1717,Caldera,466899,1974,2,1999,1,25
Besar,Indonesia,-4.43,103.67,1899,Stratovolcano?,2467,1940,1,1940,1,1
Bezymianny,Russia,55.972,160.595,2882,Stratovolcano,0,1955,5,2010,3,52
Biliran,Philippines,11.523,124.535,1301,Compound,78799,1939,1,1939,1,1
Bogoslof,United States,53.93,-168.03,150,Submarine,0,2016,3,2016,3,8
Boomerang Seamount,France,-37.721,77.825,-650,Submarine,0,1995,0,1995,0,1
Bristol Island,United Kingdom,-59.017,-26.533,1100,Stratovolcano,0,1956,3,2016,1,6
Buckle Island,Antarctica,-66.78,163.25,1239,Stratovolcano,0,1899,2,1899,2,2
Bulusan,Philippines,12.77,124.05,1565,Stratovolcano(es),74286,1981,3,2016,2,19
Burney,Chile,-52.33,-73.4,1758,Stratovolcano,0,1910,2,1910,2,1
Cagua,Philippines,18.222,122.123,1133,Stratovolcano,1137,1860,2,1860,2,1
Calbuco,Chile,-41.33,-72.618,1974,Stratovolcano,871,2015,4,2015,4,11
Callaqui,Chile,-37.92,-71.45,3164,Stratovolcano,294,1980,1,1980,1,1
Cameroon,Cameroon,4.203,9.17,4095,Stratovolcano,26053,1807,3,2000,2,16
Camiguin,Philippines,9.203,124.673,1552,Stratovolcano(es),51587,1948,3,1948,3,4
Camiguin de Babuyanes,Philippines,18.83,121.86,712,Stratovolcano,1066,1857,2,1857,2,1
Campi Flegrei Mar Sicilia,Italy,37.1,12.7,-8,Submarine,230578,1831,3,1867,0,4
Candlemas Island,United Kingdom,-57.08,-26.67,550,Stratovolcano,0,1911,2,1911,2,2
Carrán-Los Venados,Chile,-40.35,-72.07,1114,Pyroclastic cone(s),4840,1955,4,1979,2,3
Ceboruco,Mexico,21.125,-104.508,2280,Stratovolcano,30319,1870,3,1870,3,1
Cendres,Vietnam,10.158,109.014,-20,Submarine,0,1923,2,1923,2,1
Cereme,Indonesia,-6.892,108.4,3078,Stratovolcano,67377,1951,2,1951,2,3
Chachadake [Tiatia],Japan - administered by Russia,44.353,146.252,1822,Stratovolcano,223,1973,4,1981,2,4
Chaiten,Chile,-42.833,-72.646,1122,Caldera,8968,2008,4,2008,4,1
Changbaishan,China-North Korea,41.98,128.08,2744,Stratovolcano,1833,1898,2,1898,2,1
Chichon,Mexico,17.36,-93.228,1150,Lava dome(s),11000,1982,5,1982,5,1
Chiginagak,United States,57.135,-156.99,2221,Stratovolcano,0,1971,2,1998,1,2
Chikurachki,Russia,50.324,155.461,1781,Stratovolcano(es),65,1986,4,2016,2,17
Chiles-Cerro Negro,Colombia-Ecuador,0.817,-77.938,4698,Stratovolcano,4573,1936,2,1936,2,1
Chillan,Chile,-36.863,-71.377,3212,Stratovolcano,371,1864,3,2016,2,19
Chirinkotan,Russia,48.98,153.48,724,Stratovolcano,0,2016,3,2016,3,8
Chirippusan [Chirip],Japan - administered by Russia,45.338,147.92,1587,Stratovolcano(es),372,1843,2,1860,1,2
Chirpoi,Russia,46.532,150.871,742,Caldera,1,1857,3,2012,0,7
Chokaisan,Japan,39.099,140.049,2236,Stratovolcano(es),707,1834,2,1974,1,3
Chyulu Hills,Kenya,-2.68,37.88,2188,Volcanic field,14889,1855,2,1855,2,1
Cleft Segment,Undersea Features,44.83,-130.3,-2140,Submarine,0,1986,0,1986,0,2
Cleveland,United States,52.825,-169.944,1730,Stratovolcano,0,2013,3,2016,0,20
CoAxial Segment,Undersea Features,46.52,-129.58,-2400,Submarine,0,1993,0,1993,0,2
Colima,Mexico,19.514,-103.62,3850,Stratovolcano(es),746,1913,5,2013,2,34
Colo,Indonesia,-0.162,121.601,404,Stratovolcano,2025,1983,4,1983,4,3
Concepcion,Nicaragua,11.538,-85.622,1700,Stratovolcano,28900,2007,2,2009,1,31
Copahue,Chile-Argentina,-37.856,-71.183,2953,Stratovolcano,555,2015,2,2015,2,10
Cosiguina,Nicaragua,12.98,-87.57,872,Stratovolcano,4114,1835,5,1852,2,2
Cotopaxi,Ecuador,-0.677,-78.436,5911,Stratovolcano,7299,1877,4,2015,2,43
Cumbal,Colombia,0.95,-77.87,4764,Stratovolcano,10206,1926,2,1926,2,2
Curacoa,Tonga,-15.62,-173.67,-33,Submarine,0,1973,3,1979,1,2
Dabbahu,Ethiopia,12.595,40.48,1401,Stratovolcano,1150,2005,3,2005,3,1
Dakataua,Papua New Guinea,-5.094,150.094,408,Caldera,1147,1895,2,1895,2,1
Dallol,Ethiopia,14.242,40.3,-48,Explosion crater(s),670,1926,1,2011,0,2
Darwin,Ecuador,-0.18,-91.28,1330,Shield,190,1813,2,1813,2,1
Deception Island,Antarctica,-63.001,-60.652,602,Caldera,0,1970,3,1970,3,5
Dempo,Indonesia,-4.03,103.13,3173,Stratovolcano(es),9613,1974,2,2009,1,27
Descabezado Grande,Chile,-35.58,-70.75,3953,Stratovolcano(es),142,1932,3,1932,3,1
Dhamar,Yemen,14.57,44.67,3500,Volcanic field,791276,1937,2,1937,2,1
Didicas,Philippines,19.077,122.202,228,Compound,0,1978,2,1978,2,5
Dieng Volcanic Complex,Indonesia,-7.2,109.879,2565,Complex,1092929,1953,2,2009,1,20
Dona Juana,Colombia,1.5,-76.936,4137,Stratovolcano,5372,1897,4,1897,4,1
Dubbi,Eritrea,13.579,41.809,1625,Stratovolcano,0,1861,3,1861,3,1
Dukono,Indonesia,1.693,127.894,1229,Complex,3348,1933,3,1933,3,3
East Gakkel Ridge at 85°E,Undersea Features,85.608,85.25,-3800,Submarine,0,1999,2,1999,2,1
Eastern Gemini Seamount,France,-20.98,170.28,-80,Submarine,0,1996,1,1996,1,1
Ebeko,Russia,50.686,156.014,1103,Stratovolcano,267,2016,2,2016,2,14
Ebulobo,Indonesia,-8.82,121.18,2124,Stratovolcano,24149,1969,2,1969,2,6
Egon,Indonesia,-8.676,122.455,1661,Stratovolcano,23263,2008,2,2008,2,4
Ekarma,Russia,48.958,153.93,1170,Stratovolcano,0,2010,2,2010,2,2
Emuruangogolak,Kenya,1.5,36.33,1285,Shield,252,1910,0,1910,0,1
Epi,Vanuatu,-16.68,168.37,833,Stratovolcano(es),170,1953,3,2004,2,8
Erebus,Antarctica,-77.53,167.17,3794,Stratovolcano,0,1972,2,1972,1,13
Erta Ale,Ethiopia,13.6,40.67,613,Shield,2796,1967,0,1967,0,4
Esan,Japan,41.805,141.166,618,Lava dome(s),5831,1874,1,1874,1,2
Etna,Italy,37.748,14.999,3295,Stratovolcano(es),3291,2002,3,2013,2,113
Etorofu-Atosanupuri [Atosanupuri],Japan - administered by Russia,44.808,147.131,1206,Stratovolcano,289,1932,2,1932,2,2
Etorofu-Yakeyama [Grozny Group],Japan - administered by Russia,45.012,147.871,1158,Complex(es),39,2013,2,2013,2,7
Eyjafjallajokull,Iceland,63.633,-19.633,1651,Stratovolcano,4,2010,4,2010,4,2
Falcon Island,Tonga,-20.32,-175.42,-17,Submarine,302,1885,3,1936,2,5
Farallon de Pajaros,United States,20.538,144.896,360,Stratovolcano,0,1952,2,1967,0,15
Fayal,Portugal,38.6,-28.73,1043,Stratovolcano,13757,1957,2,1957,2,1
Fentale,Ethiopia,8.975,39.93,2007,Stratovolcano,14201,1820,0,1820,0,1
Fernandina,Ecuador,-0.37,-91.55,1476,Shield,129,1968,4,2009,2,25
Fisher,United States,54.65,-164.43,1112,Stratovolcano,0,1826,3,1830,2,2
Fogo,Cape Verde,14.95,-24.35,2829,Stratovolcano,13254,2014,3,2014,3,6
Fonualei,Tonga,-18.02,-174.325,180,Stratovolcano,71,1846,4,1951,2,3
Fournaise,France,-21.244,55.708,2632,Shield,55859,2002,2,2016,0,134
Fourpeaked,United States,58.77,-153.672,2105,Stratovolcano,0,2006,2,2006,2,1
Fuego,Guatemala,14.473,-90.88,3763,Stratovolcano(es),54332,1974,4,2002,2,31
Fueguino,Chile,-54.97,-70.262,157,Lava dome(s),78,1820,2,1820,2,1
Fukujin,United States,21.93,143.47,-217,Submarine,0,1973,1,1973,1,3
Fukutoku-Oka-no-Ba,Japan,24.285,141.481,-29,Submarine,19,1914,3,2010,1,9
Fuss Peak,Russia,50.267,155.246,1742,Stratovolcano,62,1854,3,1854,3,1
Galapagos Rift,Undersea Features,0.792,-86.15,-2430,Submarine,0,1996,0,1996,0,2
Galeras,Colombia,1.22,-77.37,4276,Complex,120817,2008,3,2012,2,23
Galunggung,Indonesia,-7.25,108.058,2168,Stratovolcano,66495,1822,5,1984,1,5
Gamalama,Indonesia,0.8,127.33,1715,Stratovolcano(es),204820,1990,3,2016,1,45
Gamkonora,Indonesia,1.38,127.53,1635,Stratovolcano,12744,2007,2,2007,2,11
Gareloi,United States,51.79,-178.794,1573,Stratovolcano,0,1982,3,1989,1,9
Gaua,Vanuatu,-14.27,167.5,797,Stratovolcano,1200,1965,3,2011,1,16
Gede-Pangrango,Indonesia,-6.77,106.965,3008,Stratovolcano(es),154390,1853,3,1957,2,20
Gorely,Russia,52.559,158.03,1799,Caldera,0,1980,3,2010,1,11
Great Sitkin,United States,52.076,-176.13,1740,Stratovolcano,0,1974,2,1974,2,4
Grimsvotn,Iceland,64.416,-17.316,1719,Caldera,0,2011,4,2011,4,22
Guagua Pichincha,Ecuador,-0.171,-78.598,4784,Stratovolcano,32488,1998,3,2002,1,16
Guallatiri,Chile,-18.42,-69.092,6071,Stratovolcano,63,1960,2,1960,2,4
Guguan,United States,17.307,145.845,287,Stratovolcano,0,1883,2,1883,2,1
Guntur,Indonesia,-7.143,107.84,2249,Complex,218012,1843,3,1847,2,20
Hakoneyama,Japan,35.233,139.021,1438,Complex,53755,2015,1,2015,1,1
Harrat Ash Shamah,Syria-Jordan-Saudi Arabia,32.333,37.583,1100,Volcanic field,276996,1850,0,1850,0,1
Havre Seamount,New Zealand,-31.08,-179.033,-897,Submarine,0,2012,1,2012,1,1
Heard,Australia,-53.106,73.513,2745,Stratovolcano,0,2000,2,2012,0,11
Hekla,Iceland,63.983,-19.666,1490,Stratovolcano,0,1947,4,2000,3,9
Hierro,Spain,27.73,-18.03,1500,Shield,20321,2011,2,2011,2,1
Hokkaido-Komagatake,Japan,42.063,140.677,1131,Stratovolcano,23091,1929,4,2000,1,14
Home Reef,Tonga,-18.992,-174.775,-10,Submarine,0,1984,3,2006,2,3
Hood,United States,45.374,-121.695,3426,Stratovolcano,850,1865,2,1865,2,2
Hudson,Chile,-45.9,-72.97,1905,Stratovolcano,12,1991,5,2011,2,3
Huequi,Chile,-42.377,-72.578,1318,Lava dome(s),7,1890,3,1920,2,6
Huila,Colombia,2.93,-76.03,5364,Stratovolcano,3501,2008,3,2008,2,3
Hunga Tonga-Hunga Ha'apai,Tonga,-20.536,-175.382,114,Submarine,230,2014,2,2014,2,5
Hunter Island,France,-22.4,172.05,297,Stratovolcano,0,1903,0,1903,0,1
Ibu,Indonesia,1.488,127.63,1325,Stratovolcano,14549,1998,2,2008,1,5
Ijen,Indonesia,-8.058,114.242,2769,Stratovolcano(es),5504,1936,2,1999,1,7
Iliamna,United States,60.032,-153.09,3053,Stratovolcano,0,1876,3,1876,3,2
Iliboleng,Indonesia,-8.342,123.258,1659,Stratovolcano,87503,1987,2,1993,1,20
Iliinsky,Russia,51.498,157.203,1555,Stratovolcano,0,1901,3,1901,3,1
Iliwerung,Indonesia,-8.53,123.57,1018,Complex,4318,1870,3,2013,0,13
Ilopango,El Salvador,13.672,-89.053,450,Caldera,2049583,1879,3,1879,3,1
Inielika,Indonesia,-8.73,120.98,1559,Complex,27281,2001,2,2001,2,2
Ioto,Japan,24.751,141.289,169,Caldera,1179,2012,1,2012,1,18
Io-Torishima,Japan,27.881,128.223,212,Complex,0,1959,2,1968,1,7
Irazu,Costa Rica,9.979,-83.852,3432,Stratovolcano,25442,1963,3,1994,2,17
Irruputuncu,Chile-Bolivia,-20.73,-68.55,5163,Stratovolcano,239,1995,2,1995,2,1
Isluga,Chile,-19.15,-68.83,5550,Stratovolcano,703,1913,2,1913,2,7
Iwakisan,Japan,40.656,140.303,1625,Stratovolcano,13229,1845,2,1863,1,3
Iwatesan,Japan,39.853,141.001,2038,Complex,18462,1919,1,1919,1,1
Iya,Indonesia,-8.897,121.645,637,Stratovolcano,46835,1969,3,1969,3,7
Izalco,El Salvador,13.813,-89.633,1950,Stratovolcano,55665,1948,3,1966,0,45
Izu-Oshima,Japan,34.724,139.394,758,Stratovolcano,8037,1986,3,1990,2,41
Izu-Tobu,Japan,34.9,139.098,1406,Pyroclastic cone(s),61727,1989,1,1989,1,1
Izu-Torishima,Japan,30.484,140.303,394,Stratovolcano,21,1939,3,2002,2,6
Jan Mayen,Norway,71.087,-8.146,2085,Stratovolcano,0,1970,3,1985,0,4
Jolo,Philippines,6.013,121.057,811,Pyroclastic cone(s),295392,1897,0,1897,0,1
Kaba,Indonesia,-3.522,102.615,1940,Stratovolcano,15352,1956,2,2000,1,11
Kaitoku Seamount,Japan,26.06,140.933,-173,Submarine,0,1984,0,1984,0,1
Kambalny,Russia,51.306,156.875,2116,Stratovolcano,20,2017,3,2017,3,1
Kanaga,United States,51.923,-177.168,1307,Stratovolcano,0,2012,2,2012,2,5
Kanlaon,Philippines,10.412,123.132,2435,Stratovolcano,40276,2015,2,2015,2,28
Karangetang,Indonesia,2.781,125.407,1797,Stratovolcano,4478,2010,3,2014,1,52
Karkar,Papua New Guinea,-4.649,145.964,1839,Stratovolcano,4159,2013,3,2014,1,8
Karpinsky Group,Russia,50.148,155.373,1326,Cone(s),104,1952,1,1952,1,1
Karthala,Comoros,-11.75,43.38,2361,Shield,225379,2005,3,2007,2,29
Karymsky,Russia,54.049,159.443,1513,Stratovolcano,0,2001,3,2016,2,32
Kasatochi,United States,52.177,-175.508,314,Stratovolcano,0,2008,4,2008,4,1
Kasuga 1,United States,21.765,143.71,-598,Submarine,0,1959,0,1959,0,1
Katla,Iceland,63.633,-19.083,1490,Subglacial,0,1918,4,1918,4,3
Katmai,United States,58.28,-154.963,2047,Stratovolcano,0,1912,3,1912,3,1
Kavachi,Solomon Islands,-8.991,157.979,-20,Submarine,6,1991,2,2014,1,31
Kelimutu,Indonesia,-8.77,121.82,1639,Complex,9896,1938,2,1968,1,3
Kelut,Indonesia,-7.93,112.308,1731,Stratovolcano,50901,2014,4,2014,4,17
Kerinci,Indonesia,-1.697,101.264,3800,Stratovolcano,33878,2016,2,2016,1,34
Ketoi,Russia,47.35,152.475,1172,Stratovolcano,10,1960,2,1960,2,3
Kharimkotan,Russia,49.12,154.508,1145,Stratovolcano,2,1933,5,1933,5,5
Kick 'em Jenny,Grenada,12.3,-61.64,-185,Submarine,4687,1939,1,2015,0,13
Kikai,Japan,30.789,130.308,704,Caldera,152,2004,2,2013,1,10
Kilauea,United States,19.421,-155.287,1222,Shield,3122,1960,2,1983,1,62
Kirishimayama,Japan,31.934,130.862,1700,Shield,8415,2011,2,2011,2,26
Kiska,United States,52.103,177.602,1220,Stratovolcano,0,1962,3,1990,2,4
Kita-Fukutokutai,Japan,24.417,141.417,-73,Submarine,0,1953,0,1953,0,1
Kita-Ioto,Japan,25.424,141.284,792,Stratovolcano,162,1930,2,1930,2,2
Kizimen,Russia,55.131,160.32,2334,Stratovolcano,26,2010,3,2010,3,2
Klyuchevskoy,Russia,56.056,160.642,4754,Stratovolcano,0,1986,4,2015,2,88
Kolokol Group,Russia,46.042,150.083,1328,Stratovolcano,2,1970,3,1973,1,7
Kone,Ethiopia,8.8,39.692,1619,Caldera(s),27271,1820,1,1820,1,1
Korovin,United States,52.381,-174.166,1518,Stratovolcano(es),0,1998,3,2006,1,7
Koryaksky,Russia,53.321,158.712,3430,Stratovolcano,13,1956,3,2008,2,4
Krafla,Iceland,65.715,-16.728,800,Caldera,384,1977,1,1984,0,6
Krakatau,Indonesia,-6.102,105.423,813,Caldera,7177,1883,6,2014,1,43
Kronotsky,Russia,54.753,160.533,3482,Stratovolcano,12,1923,2,1923,2,2
Krummel-Garbuna-Welcker,Papua New Guinea,-5.416,150.027,564,Stratovolcano(es),8207,2008,2,2008,1,3
Ksudach,Russia,51.844,157.572,1079,Stratovolcano,0,1907,5,1907,5,1
Kuchinoerabujima,Japan,30.443,130.218,639,Stratovolcano(es),1698,1933,4,2015,3,15
Kujusan,Japan,33.086,131.249,1791,Stratovolcano(es),11771,1995,1,1995,1,1
Kunlun Volcanic Group,China,35.52,80.2,5808,Pyroclastic cone(s),1253,1951,2,1951,2,1
Kupreanof,United States,56.011,-159.797,1895,Stratovolcano,0,1987,1,1987,1,1
Kurikomayama,Japan,38.961,140.788,1627,Stratovolcano,1081,1950,2,1950,2,3
Kusatsu-Shiranesan,Japan,36.618,138.528,2165,Stratovolcano(es),14296,1932,3,1983,1,20
Kuttara,Japan,42.491,141.16,549,Stratovolcano(es),34015,1820,1,1820,1,1
Kuwae,Vanuatu,-16.829,168.536,-2,Caldera,2836,1949,3,1974,0,11
Kverkfjoll,Iceland,64.653,-16.647,1930,Stratovolcano,0,1959,1,1968,0,3
La Palma,Spain,28.57,-17.83,2426,Stratovolcano(es),18506,1971,2,1971,2,2
Lamington,Papua New Guinea,-8.95,148.15,1680,Stratovolcano,2018,1951,4,1951,4,1
Lamongan,Indonesia,-7.979,113.342,1651,Stratovolcano,66387,1877,3,1898,2,40
Langila,Papua New Guinea,-5.525,148.42,1330,Complex,3653,1973,3,2016,2,26
Lanzarote,Spain,29.03,-13.63,670,Fissure vent(s),80515,1824,2,1824,2,1
Lascar,Chile,-23.37,-67.73,5592,Stratovolcano(es),70,1993,4,2015,2,29
Lassen Volcanic Center,United States,40.492,-121.508,3187,Stratovolcano,9,1914,3,1914,3,1
Late,Tonga,-18.806,-174.65,540,Stratovolcano,158,1854,2,1854,2,1
Lautaro,Chile,-49.02,-73.55,3607,Stratovolcano,0,1979,2,1979,2,8
Lawu,Indonesia,-7.625,111.192,3265,Stratovolcano,68175,1885,1,1885,1,1
Lengai,Tanzania,-2.764,35.914,2962,Stratovolcano,1855,2007,3,2011,0,19
Leroboleng,Indonesia,-8.365,122.833,1095,Complex,26794,2003,3,2003,3,4
