NAME,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,TYPE,POPULATION WITHIN 10KM,LARGEST YEAR,LARGEST VEI,LATEST YEAR,LATEST VEI,ERUPTION COUNT
Lewotobi,Indonesia,-8.542,122.775,1703,Stratovolcano(es),59084,1932,3,2003,2,21
Lewotolo,Indonesia,-8.272,123.505,1423,Stratovolcano,10032,1951,2,2012,1,8
Llaima,Chile,-38.692,-71.729,3125,Stratovolcano,811,2008,3,2008,3,50
Llullaillaco,Chile-Argentina,-24.72,-68.53,6739,Stratovolcano,18,1877,2,1877,2,3
Loihi,United States,18.92,-155.27,-975,Submarine,0,1996,0,1996,0,1
Lokon-Empung,Indonesia,1.358,124.792,1580,Stratovolcano(es),75684,2003,3,2015,1,28
Lolobau,Papua New Guinea,-4.92,151.158,858,Caldera,7243,1911,4,1911,4,2
Long Island,Papua New Guinea,-5.358,147.12,1280,Complex,2023,1955,3,1993,1,6
Longonot,Kenya,-0.914,36.446,2776,Stratovolcano,17893,1863,0,1863,0,1
Lonquimay,Chile,-38.379,-71.586,2832,Stratovolcano,540,1988,3,1988,3,4
Lopevi,Vanuatu,-16.507,168.346,1413,Stratovolcano,793,2003,3,2007,2,28
Macdonald,Undersea Features,-28.98,-140.25,-39,Submarine,0,1987,0,1987,0,12
Mahawu,Indonesia,1.352,124.865,1299,Stratovolcano,111852,1958,2,1977,0,5
Maipo,Chile-Argentina,-34.164,-69.832,5323,Caldera,3916,1912,2,1912,2,4
Makaturing,Philippines,7.647,124.32,1940,Stratovolcano,9752,1865,2,1865,2,1
Makian,Indonesia,0.32,127.4,1357,Stratovolcano,8466,1861,4,1988,3,5
Makushin,United States,53.891,-166.923,1800,Stratovolcano,0,1826,3,1995,1,10
Maly Semyachik,Russia,54.135,159.674,1527,Caldera,98,1804,3,1952,2,5
Manam,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,2553,2004,4,2014,2,35
Manda Hararo,Ethiopia,12.17,40.82,600,Shield(s),857,2009,2,2009,2,2
Manda-Inakir,Ethiopia-Djibouti,12.38,42.2,600,Fissure vent(s),1130,1928,2,1928,2,1
Marapi,Indonesia,-0.381,100.473,2891,Complex,57453,2011,2,2015,1,62
Marchena,Ecuador,0.33,-90.47,343,Shield,785,1991,2,1991,2,1
Mariana Back-Arc Segment at 15.5°N,United States,15.406,144.506,-4100,Submarine,0,2013,0,2013,0,1
Marion Island,South Africa,-46.9,37.75,1230,Shield(s),0,2004,1,2004,1,2
Maruyama,Japan,43.453,143.036,2013,Stratovolcano(es),6,1898,2,1898,2,1
Masaya,Nicaragua,11.984,-86.161,635,Caldera,989888,1925,2,2015,1,28
Matthew Island,France,-22.33,171.32,177,Stratovolcano,1,1954,2,1956,0,3
Mauna Loa,United States,19.475,-155.608,4170,Shield,45,1868,2,1984,0,38
Mayon,Philippines,13.257,123.685,2462,Stratovolcano,248448,1897,4,2014,0,54
McDonald Islands,Australia,-53.03,72.6,230,Complex,0,2001,1,2005,0,4
Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,185849,2010,4,2014,3,54
Meru,Tanzania,-3.25,36.75,4565,Stratovolcano,2506,1910,2,1910,2,3
Metis Shoal,Tonga,-19.18,-174.87,43,Submarine,18,1995,2,1995,2,8
Michinmahuida,Chile,-42.799,-72.445,2452,Stratovolcano,9,1834,2,1835,0,2
Michoacan-Guanajuato,Mexico,19.85,-101.75,3860,Pyroclastic cone(s),5783287,1943,4,1943,4,1
Midagahara,Japan,36.571,137.59,2621,Stratovolcano,521,1839,2,1839,2,2
Milna,Russia,46.815,151.786,1504,Stratovolcano,47,1842,3,1914,2,5
Minami Hiyoshi,Japan,23.5,141.935,-107,Submarine,0,1975,0,1975,0,1
Miravalles,Costa Rica,10.748,-85.153,2028,Stratovolcano,7492,1946,1,1946,1,1
Misti,Peru,-16.294,-71.409,5822,Stratovolcano,1507,1985,1,1985,1,1
Miyakejima,Japan,34.094,139.526,775,Stratovolcano,3189,2000,3,2010,1,16
Mocho-Choshuenco,Chile,-39.927,-72.027,2422,Stratovolcano(es),789,1864,2,1864,2,1
Momotombo,Nicaragua,12.423,-86.539,1270,Stratovolcano,1851,2015,2,2015,2,11
Monaco Bank,Portugal,37.6,-25.88,-197,Submarine,0,1911,1,1911,1,2
Monowai,New Zealand,-25.887,-177.188,-132,Submarine,0,1979,1,2012,0,22
Montagu Island,United Kingdom,-58.445,-26.374,1370,Shield,0,2001,1,2001,1,1
Moua Pihaa,France,-18.325,-148.525,-312,Submarine,0,1970,0,1970,0,2
Moyorodake [Medvezhia],Japan - administered by Russia,45.389,148.838,1124,Stratovolcano,42,1883,2,1999,1,3
Musuan,Philippines,7.877,125.068,646,Lava dome,134114,1886,2,1886,2,1
Mutnovsky,Russia,52.449,158.196,2288,Complex,0,1917,3,2000,1,18
Myojinsho,Japan,31.888,139.918,11,Submarine,0,1970,2,1970,2,15
Nabro,Eritrea,13.37,41.7,2218,Stratovolcano,145,2011,4,2011,4,1
Nakanoshima,Japan,29.859,129.857,979,Stratovolcano(es),170,1914,1,1914,1,1
Nasudake,Japan,37.125,139.963,1915,Stratovolcano(es),5802,1963,1,1963,1,5
Negra,Ecuador,-0.83,-91.17,1124,Shield,408,2005,3,2005,3,9
Negro,Nicaragua,12.506,-86.702,728,Pyroclastic cone(s),10243,1992,3,1999,2,23
Nemo Peak,Russia,49.57,154.808,1018,Caldera,15,1938,2,1938,2,2
Nightingale Island,United Kingdom,-37.42,-12.48,365,Stratovolcano,0,2004,0,2004,0,1
Niigata-Yakeyama,Japan,36.921,138.036,2400,Lava dome,610,1974,2,1998,1,11
Nikko-Shiranesan,Japan,36.799,139.376,2578,Shield,2502,1952,2,1952,2,5
Nila,Indonesia,-6.73,129.5,781,Stratovolcano,200,1932,2,1968,1,4
Nishinoshima,Japan,27.247,140.874,25,Caldera,0,2013,2,2013,2,2
Nisyros,Greece,36.586,27.16,698,Stratovolcano,680,1888,2,1888,2,3
Niuafo'ou,Tonga,-15.6,-175.63,260,Shield,155,1886,4,1985,0,11
North Gorda Ridge Segment,Undersea Features,42.67,-126.78,-3000,Submarine,0,1996,0,1996,0,1
Northern EPR at 10.7°N,Undersea Features,10.73,-103.58,-2900,Submarine,0,2003,0,2003,0,1
Northern EPR at 9.8°N,Undersea Features,9.83,-104.3,-2500,Submarine,0,2005,0,2005,0,6
Novarupta,United States,58.27,-155.157,841,Caldera,0,1912,6,1912,6,1
NW Rota-1,United States,14.601,144.775,-517,Submarine,0,2003,0,2003,0,1
Nyamuragira,DR Congo,-1.408,29.2,3058,Shield,27027,1996,3,2016,0,43
Nyiragongo,DR Congo,-1.52,29.25,3470,Stratovolcano,31145,2002,2,2002,1,18
Ofu-Olosega,United States,-14.175,-169.618,639,Shield(s),384,1866,2,1866,2,1
Okataina,New Zealand,-38.12,176.5,1111,Lava dome(s),579,1886,5,1981,1,21
Okmok,United States,53.43,-168.13,1073,Shield,0,2008,4,2008,4,13
Ontakesan,Japan,35.893,137.48,3067,Complex,2098,2014,3,2014,3,4
Orizaba,Mexico,19.03,-97.27,5564,Stratovolcano,4469,1846,2,1846,2,1
Osorno,Chile,-41.105,-72.496,2659,Stratovolcano,674,1834,3,1869,2,5
Pacaya,Guatemala,14.382,-90.601,2569,Complex,53579,2006,3,2016,1,13
Pagan,United States,18.13,145.8,570,Stratovolcano(es),0,1981,4,2012,2,17
Paluweh,Indonesia,-8.32,121.708,875,Stratovolcano,446,1972,3,2012,2,8
Pantelleria,Italy,36.77,12.02,836,Shield,10985,1891,1,1891,1,1
Papandayan,Indonesia,-7.32,107.73,2665,Stratovolcano(es),163468,2002,2,2002,2,3
Pavlof,United States,55.417,-161.894,2493,Stratovolcano,0,2014,3,2016,2,42
Pelee,France,14.809,-61.165,1394,Stratovolcano,5025,1902,4,1929,3,3
Perbakti-Gagak,Indonesia,-6.75,106.7,1699,Stratovolcano(es),28784,1939,1,1939,1,6
Peuet Sague,Indonesia,4.914,96.329,2801,Complex,144,2000,2,2000,2,7
Pico Fracture Zone,Undersea Features,38.75,-38.08,-4200,Submarine,0,1865,0,1865,0,1
Pilas,Nicaragua,12.495,-86.688,1088,Complex,8324,1954,2,1954,2,2
Pinatubo,Philippines,15.13,120.35,1486,Stratovolcano,3808,1991,6,1993,1,3
Planchon-Peteroa,Chile,-35.223,-70.568,3977,Stratovolcano(es),48,2011,3,2011,3,14
Poas,Costa Rica,10.2,-84.233,2708,Stratovolcano,11107,1994,2,2016,1,48
Popocatepetl,Mexico,19.023,-98.622,5426,Stratovolcano(es),2584,1996,3,2005,2,11
Prevo Peak,Russia,47.02,152.12,1360,Stratovolcano,6,1825,2,1825,2,1
Protector Seamounts,United Kingdom,-55.912,-28.167,-55,Submarine,0,1962,0,1962,0,1
Purace,Colombia,2.32,-76.4,4650,Stratovolcano(es),7152,1885,3,1977,2,23
Puyehue-Cordon Caulle,Chile,-40.59,-72.117,2236,Stratovolcano,783,2011,5,2011,5,10
Quetrupillan,Chile,-39.5,-71.7,2360,Stratovolcano,518,1872,2,1872,2,1
Rabaul,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,43531,2006,4,2014,3,15
Ragang,Philippines,7.7,124.5,2815,Stratovolcano,2646,1873,2,1873,2,6
Raikoke,Russia,48.292,153.25,551,Stratovolcano,0,1924,4,1924,4,1
Rainier,United States,46.853,-121.76,4392,Stratovolcano,128,1894,1,1894,1,1
Ranakah,Indonesia,-8.62,120.52,2350,Lava dome(s),63314,1987,3,1991,1,2
Raoul Island,New Zealand,-29.27,-177.92,516,Stratovolcano,0,1870,3,2006,1,5
Rasshua,Russia,47.77,153.02,956,Stratovolcano,9,1846,3,1957,1,2
Raung,Indonesia,-8.119,114.056,3260,Stratovolcano,572,1817,4,2015,3,56
Raususan [Mendeleev],Japan - administered by Russia,43.979,145.733,882,Stratovolcano,1783,1880,1,1880,1,1
Reclus,Chile,-50.964,-73.585,1000,Pyroclastic cone,1,1879,2,1908,1,3
Redoubt,United States,60.485,-152.742,3108,Stratovolcano,0,2009,3,2009,3,6
Reventador,Ecuador,-0.077,-77.656,3562,Stratovolcano,963,2002,4,2008,2,22
Reykjanes,Iceland,63.85,-22.566,140,Crater rows,13995,1830,3,1926,0,3
Rincon de la Vieja,Costa Rica,10.83,-85.324,1916,Complex,1428,1966,3,2015,1,23
Rinjani,Indonesia,-8.42,116.47,3726,Stratovolcano,55594,1994,3,2016,2,17
Ritter Island,Papua New Guinea,-5.519,148.115,75,Stratovolcano,43,1888,2,2007,1,6
Rocard,France,-17.662,-148.586,-2515,Submarine,0,1972,0,1972,0,3
Ruang,Indonesia,2.3,125.37,725,Stratovolcano,1652,2002,4,2002,4,12
Ruapehu,New Zealand,-39.28,175.57,2797,Stratovolcano,298,1996,3,2007,1,58
Ruby,United States,15.62,145.57,-230,Submarine,0,1995,0,1995,0,2
Ruiz,Colombia,4.892,-75.324,5279,Stratovolcano,20146,2012,3,2014,2,10
Rumble III,New Zealand,-35.745,178.478,-220,Submarine,0,2008,0,2008,0,6
Sabancaya,Peru,-15.787,-71.857,5960,Stratovolcano(es),526,2016,3,2016,3,7
Salak,Indonesia,-6.72,106.73,2211,Stratovolcano,80578,1938,2,1938,2,4
San Cristobal,Nicaragua,12.702,-87.004,1745,Stratovolcano,7876,2016,2,2016,2,23
San Jorge,Portugal,38.65,-28.08,1053,Fissure vent,4689,1808,1,1907,0,3
San Jose,Chile-Argentina,-33.789,-69.895,6070,Stratovolcano(es),616,1960,2,1960,2,7
San Miguel,El Salvador,13.434,-88.269,2130,Stratovolcano,63007,2013,2,2016,1,32
San Pedro-San Pablo,Chile,-21.888,-68.391,6142,Stratovolcano(es),156,1960,2,1960,2,6
San Salvador,El Salvador,13.734,-89.294,1893,Stratovolcano,800780,1917,3,1917,3,1
Sangay,Ecuador,-2.005,-78.341,5286,Stratovolcano,1675,1934,3,1934,3,1
Sangeang Api,Indonesia,-8.2,119.07,1949,Complex,1155,2014,3,2014,3,17
Santa Ana,El Salvador,13.853,-89.63,2381,Stratovolcano,21653,2005,3,2005,3,7
Santa Maria,Guatemala,14.757,-91.552,3745,Stratovolcano,119462,1902,6,1922,3,3
Santiago,Ecuador,-0.22,-90.77,920,Shield,74,1904,0,1904,0,2
Santiago,Guatemala,14.33,-89.87,1192,Volcanic field,226325,1904,0,1904,0,2
Santorini,Greece,36.404,25.396,367,Shield(s),12266,1950,2,1950,2,5
Sarychev Peak,Russia,48.092,153.2,1496,Stratovolcano,143,2009,4,2009,4,14
Sashiusudake [Baransky],Japan - administered by Russia,45.1,148.019,1125,Stratovolcano,0,1951,1,1951,1,1
Saunders,United Kingdom,-57.8,-26.483,843,Stratovolcano,0,1819,2,2015,0,17
Savai'i,Samoa,-13.612,-172.525,1858,Shield,59,1905,2,1905,2,2
Savo,Solomon Islands,-9.13,159.82,485,Stratovolcano,3200,1835,3,1835,3,1
Seguam,United States,52.315,-172.51,1054,Stratovolcano(es),0,1902,3,1993,2,6
Semeru,Indonesia,-8.108,112.922,3657,Stratovolcano,8375,1967,3,1967,3,58
Semisopochnoi,United States,51.93,179.58,1221,Stratovolcano,0,1987,2,1987,2,1
Serua,Indonesia,-6.312,130.017,608,Stratovolcano,58,1921,2,1921,2,6
Sete Cidades,Portugal,37.87,-25.78,856,Stratovolcano,10365,1811,3,1880,0,4
Seulawah Agam,Indonesia,5.448,95.658,1810,Stratovolcano,10555,1839,2,1839,2,1
Sheveluch,Russia,56.653,161.36,3283,Stratovolcano,0,1854,5,1999,2,18
Shikotsu,Japan,42.688,141.38,1320,Caldera,130474,1909,3,1981,0,32
Shiretoko-Iozan,Japan,44.133,145.161,1562,Stratovolcano,1516,1889,2,1935,1,4
Shishaldin,United States,54.756,-163.97,2857,Stratovolcano,0,1999,3,2014,1,32
Sinabung,Indonesia,3.17,98.392,2460,Stratovolcano,13801,2013,2,2013,2,2
Sinarka,Russia,48.873,154.182,911,Stratovolcano,3,1872,4,1872,4,3
Sirung,Indonesia,-8.508,124.13,862,Complex,19334,2012,2,2015,1,9
Slamet,Indonesia,-7.242,109.208,3428,Stratovolcano,13401,2014,2,2014,2,40
Socorro,Mexico,18.78,-110.95,1050,Shield,0,1951,2,1993,0,2
Soputan,Indonesia,1.112,124.737,1785,Stratovolcano,69991,2016,3,2016,3,37
Sorikmarapi,Indonesia,0.686,99.539,2145,Stratovolcano,1469,1970,2,1986,1,7
Soufriere Guadeloupe,France,16.044,-61.664,1467,Stratovolcano,71345,1976,2,1976,2,4
Soufriere Hills,United Kingdom,16.72,-62.18,915,Stratovolcano,9401,2005,3,2005,3,3
Soufrière St. Vincent,Saint Vincent and the Grenadines,13.33,-61.18,1220,Stratovolcano,15327,1902,4,1979,3,5
South Island,Kenya,2.63,36.6,800,Stratovolcano,0,1888,1,1888,1,1
South Sarigan Seamount,United States,16.58,145.78,-184,Submarine,0,2010,3,2010,3,1
Southern EPR at 8°S,Undersea Features,-8.27,-107.95,-2800,Submarine,0,1964,0,1964,0,1
Southern EPR-Segment I,Undersea Features,-18.53,-113.42,-2600,Submarine,0,1915,0,1915,0,2
Southern EPR-Segment J,Undersea Features,-18.175,-113.35,-2650,Submarine,0,1890,0,1890,0,2
Southern EPR-Segment K,Undersea Features,-17.436,-113.206,-2566,Submarine,0,1990,0,1990,0,4
Southern Thule,United Kingdom,-59.442,-27.225,1075,Stratovolcano(es),0,1975,1,1975,1,1
Spurr,United States,61.299,-152.251,3374,Stratovolcano,0,1992,4,1992,4,2
St. Andrew Strait,Papua New Guinea,-2.38,147.35,270,Complex,678,1953,2,1953,2,2
St. Helens,United States,46.2,-122.18,2549,Stratovolcano,427,1980,5,2004,2,13
Stromboli,Italy,38.789,15.213,924,Stratovolcano,2225,1910,3,1934,2,5
Submarine Volcano NNE of Iriomotejima,Japan,24.57,123.93,-200,Submarine,0,1924,4,1924,4,1
Sumaco,Ecuador,-0.538,-77.626,3990,Stratovolcano,324,1895,2,1895,2,1
Sumbing,Indonesia,-2.414,101.728,2507,Stratovolcano,304,1921,2,1921,2,2
Sumbing,Indonesia,-7.384,110.07,3371,Stratovolcano,310361,1921,2,1921,2,2
Sumisujima,Japan,31.44,140.051,136,Submarine,0,1870,2,1916,0,2
Sundoro,Indonesia,-7.3,109.992,3136,Stratovolcano,496751,1971,2,1971,2,9
Suoh,Indonesia,-5.25,104.27,1000,Caldera(s),2048,1933,4,1933,4,1
Supply Reef,United States,20.13,145.1,-8,Submarine,0,1989,0,1989,0,2
Suretamatai,Vanuatu,-13.8,167.47,921,Complex,3509,1965,2,1965,2,3
Suwanosejima,Japan,29.638,129.714,796,Stratovolcano(es),107,1889,4,2004,2,23
Taal,Philippines,14.002,120.993,311,Caldera,717090,1965,4,1977,2,17
Tacana,Mexico-Guatemala,15.132,-92.109,4064,Stratovolcano,20932,1986,1,1986,1,3
Tafu-Maka,Tonga,-15.37,-174.23,-1400,Submarine,0,2008,0,2008,0,1
Tair,Yemen,15.55,41.83,244,Stratovolcano,0,2007,3,2007,3,4
Talang,Indonesia,-0.979,100.681,2575,Stratovolcano,18512,2007,2,2007,2,13
Tambora,Indonesia,-8.25,118.0,2850,Stratovolcano,11331,1812,7,1967,0,4
Tanaga,United States,51.885,-178.146,1806,Stratovolcano(es),0,1914,0,1914,0,1
Tandikat-Singgalang,Indonesia,-0.39,100.331,2854,Stratovolcano(es),38799,1924,1,1924,1,3
Tangkoko-Duasudara,Indonesia,1.518,125.185,1334,Stratovolcano,57792,1843,2,1880,1,4
Tangkubanparahu,Indonesia,-6.77,107.6,2084,Stratovolcano,518822,2013,2,2013,1,17
Tao-Rusyr Caldera,Russia,49.35,154.7,1325,Stratovolcano,73,1952,3,1952,3,1
Tara,Indonesia,-7.791,123.585,633,Stratovolcano,207,2007,2,2007,2,2
Teahitia,France,-17.564,-148.821,-1743,Submarine,0,1985,0,1985,0,4
Telica,Nicaragua,12.606,-86.84,1036,Stratovolcano(es),21990,2015,2,2015,2,37
Telong,Indonesia,4.769,96.821,2617,Stratovolcano,25733,1919,2,1919,2,4
Tenerife,Spain,28.271,-16.641,3715,Stratovolcano,156,1909,2,1909,2,1
Tengger Caldera,Indonesia,-7.942,112.95,2329,Stratovolcano(es),69451,2010,3,2015,2,59
Teon,Indonesia,-6.976,129.144,728,Stratovolcano,102,1904,2,1904,2,1
Terceira,Portugal,38.73,-27.32,1023,Stratovolcano(es),12299,1867,3,1998,0,2
Tinakula,Solomon Islands,-10.38,165.8,851,Stratovolcano,19,1965,3,2008,1,18
Tinguiririca,Chile,-34.814,-70.352,4280,Stratovolcano,47,1917,1,1917,1,1
Tofua,Tonga,-19.75,-175.07,515,Caldera,1556,1958,2,2004,1,6
Tokachidake,Japan,43.418,142.686,2077,Stratovolcano(es),227,1962,3,2004,1,16
Tolbachik,Russia,55.832,160.326,3611,Shield,0,2012,4,2012,4,25
Tolima,Colombia,4.658,-75.33,5215,Stratovolcano,6563,1943,2,1943,2,4
Tomariyama [Golovnin],Japan - administered by Russia,43.844,145.504,535,Caldera,1796,1848,1,1848,1,1
Tongariro,New Zealand,-39.157,175.632,1978,Stratovolcano(es),286,1975,3,2012,2,70
Toya,Japan,42.544,140.839,733,Stratovolcano,36191,1853,4,2000,2,6
Traitor's Head,Vanuatu,-18.754,169.238,817,Stratovolcano,380,1881,0,1881,0,1
Trident,United States,58.236,-155.1,1864,Stratovolcano,0,1974,3,1974,3,14
Tristan da Cunha,United Kingdom,-37.092,-12.28,2060,Shield,12,1961,2,1961,2,1
Tungurahua,Ecuador,-1.467,-78.442,5023,Stratovolcano,20990,1916,4,2015,3,9
Tupungatito,Chile-Argentina,-33.425,-69.797,5660,Stratovolcano,923,1987,2,1987,2,18
Turrialba,Costa Rica,10.025,-83.767,3340,Stratovolcano,6867,1866,3,2015,2,10
Tutupaca,Peru,-17.026,-70.372,5801,Stratovolcano(es),1125,1802,4,1802,4,1
Ubinas,Peru,-16.355,-70.903,5672,Stratovolcano,1195,2016,2,2016,2,14
Ugashik-Peulik,United States,57.751,-156.368,1474,Stratovolcano,0,1814,3,1814,3,1
Ukinrek Maars,United States,57.832,-156.51,91,Maar(s),0,1977,3,1977,3,1
Ulawun,Papua New Guinea,-5.05,151.33,2334,Stratovolcano,1801,2000,4,2016,1,37
Unknown Source,Unknown,0.0,0.0,0,,0,1808,6,1808,6,1
Unzendake,Japan,32.761,130.299,1483,Complex,76424,1996,2,1996,2,2
Ushishur,Russia,47.52,152.8,401,Caldera,0,1884,1,1884,1,1
Ushkovsky,Russia,56.113,160.509,3943,Compound,0,1890,2,1890,2,1
Vailulu'u,United States,-14.215,-169.058,-592,Submarine,0,2003,0,2003,0,3
Veniaminof,United States,56.17,-159.38,2507,Stratovolcano,0,2013,3,2013,3,21
Vestmannaeyjar,Iceland,63.416,-20.266,283,Submarine,1685,1973,3,1973,3,2
Vesuvius,Italy,40.821,14.426,1281,Stratovolcano,675705,1875,4,1913,3,9
Victory,Papua New Guinea,-9.2,149.07,1925,Stratovolcano,96,1890,2,1890,2,1
Viedma,Argentina,-49.358,-73.28,1500,Subglacial,0,1988,2,1988,2,1
Villarrica,Chile,-39.42,-71.93,2847,Stratovolcano,1067,1963,3,2014,1,64
Visoke,DR Congo-Rwanda,-1.458,29.485,3696,Stratovolcano,88356,1957,1,1957,1,1
Vsevidof,United States,53.13,-168.693,2149,Stratovolcano,0,1817,3,1878,2,2
Vulcano,Italy,38.404,14.962,500,Stratovolcano(es),23059,1888,3,1888,3,3
Waiowa,Papua New Guinea,-9.57,149.075,640,Pyroclastic cone,338,1943,3,1943,3,1
Watt,Dominica,15.307,-61.305,1224,Stratovolcano(es),35821,1880,2,1997,1,2
West Mata,Tonga,-15.1,-173.75,-1174,Submarine,0,2008,0,2008,0,1
Westdahl,United States,54.518,-164.65,1654,Stratovolcano?,0,1991,3,1991,3,5
White Island,New Zealand,-37.52,177.18,321,Stratovolcano(es),5,2000,3,2016,1,35
Witori,Papua New Guinea,-5.576,150.516,724,Caldera,24509,2002,3,2012,2,6
Wolf,Ecuador,0.02,-91.35,1710,Shield,165,2015,4,2015,4,7
Wrangell,United States,62.006,-144.017,4278,Shield,0,1902,2,1999,1,6
Wurlali,Indonesia,-7.125,128.675,868,Stratovolcano,365,1892,2,1892,2,1
Yakedake,Japan,36.227,137.587,2455,Stratovolcano(es),2995,1962,2,1995,1,24
Yar,Saudi Arabia,17.05,42.83,305,Volcanic field,292582,1810,2,1810,2,1
Yokoate-jima,Japan,28.797,128.997,495,Stratovolcano(es),64,1835,2,1835,2,1
Yunaska,United States,52.643,-170.629,550,Shield,0,1937,3,1937,3,3
Zaozan,Japan,38.144,140.44,1841,Complex,4681,1895,2,1940,1,15
Zavaritzki Caldera,Russia,46.925,151.95,624,Caldera,46,1957,3,1957,3,2
Zavodovski,United Kingdom,-56.3,-27.57,551,Stratovolcano,0,1819,2,2016,1,2
Zheltovsky,Russia,51.577,157.328,1926,Stratovolcano,21,1923,3,1923,3,1
Zhupanovsky,Russia,53.589,159.15,2899,Compound,0,2014,3,2016,2,9
Zubair Group,Yemen,15.05,42.18,191,Shield,7,2013,2,2013,2,3
